"filename", "language", "LaTeX", "Python", "Markdown", "Shell Script", "JSON", "JSON Lines", "CSV", "comment", "blank", "total"
"/media/torontoai/Iterative-rag/paper_analysis_section.md", "Markdown", 0, 0, 160, 0, 0, 0, 0, 0, 94, 254
"/media/torontoai/Iterative-rag/paper_analysis_section.tex", "LaTeX", 233, 0, 0, 0, 0, 0, 0, 0, 95, 328
"/media/torontoai/Iterative-rag/src/analyzing/average_output_tokens.py", "Python", 0, 143, 0, 0, 0, 0, 0, 4, 37, 184
"/media/torontoai/Iterative-rag/src/analyzing/average_reasoning_tokens.py", "Python", 0, 91, 0, 0, 0, 0, 0, 5, 28, 124
"/media/torontoai/Iterative-rag/src/analyzing/data/easy_questions.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 652, 0, 0, 1, 653
"/media/torontoai/Iterative-rag/src/analyzing/data/hard_questions_min4.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 128, 0, 0, 1, 129
"/media/torontoai/Iterative-rag/src/analyzing/easy_hard_question_analysis.py", "Python", 0, 206, 0, 0, 0, 0, 0, 9, 44, 259
"/media/torontoai/Iterative-rag/src/analyzing/export_question_difficulty.py", "Python", 0, 26, 0, 0, 0, 0, 0, 2, 13, 41
"/media/torontoai/Iterative-rag/src/analyzing/output_tokens_per_hop.py", "Python", 0, 102, 0, 0, 0, 0, 0, 2, 26, 130
"/media/torontoai/Iterative-rag/src/analyzing/plot_question_difficulty_tokens.py", "Python", 0, 270, 0, 0, 0, 0, 0, 4, 55, 329
"/media/torontoai/Iterative-rag/src/analyzing/reasoning_tokens_per_hop.py", "Python", 0, 104, 0, 0, 0, 0, 0, 3, 30, 137
"/media/torontoai/Iterative-rag/src/analyzing/wrong_answers_per_hop.py", "Python", 0, 84, 0, 0, 0, 0, 0, 6, 25, 115
"/media/torontoai/Iterative-rag/src/analyzing/wrong_tokens_heatmap.py", "Python", 0, 191, 0, 0, 0, 0, 0, 6, 49, 246
"/media/torontoai/Iterative-rag/src/benchmark/evaluator.py", "Python", 0, 1182, 0, 0, 0, 0, 0, 72, 164, 1418
"/media/torontoai/Iterative-rag/src/config/app_config.py", "Python", 0, 49, 0, 0, 0, 0, 0, 15, 16, 80
"/media/torontoai/Iterative-rag/src/docs/chemrxiv_graph_v2.json", "JSON", 0, 0, 0, 0, 402520, 0, 0, 0, 0, 402520
"/media/torontoai/Iterative-rag/src/docs/chemrxiv_qa.json", "JSON", 0, 0, 0, 0, 33758, 0, 0, 0, 0, 33758
